id,name,author,content,tags
9f6dd5acaf50483f8ddd94c57cd2cf08,李都尉古剑,唐代 白居易,"
古剑寒黯黯，铸来几千秋。<br>白光纳日月，紫气排斗牛。<br>有客借一观，爱之不敢求。<br>湛然玉匣中，秋水澄不流。<br>至宝有本性，精刚无与俦。<br>可使寸寸折，不能绕指柔。<br>愿快直士心，将断佞臣头。<br>不愿报小怨，夜半刺私仇。<br>劝君慎所用，无作神兵羞。
","咏物,写剑,讽喻"
edbfaf4e56ee46528dc9ccf4e604ca4d,河满子·湖州作寄益守冯当世,宋代 苏轼,"
见说岷峨凄怆，旋闻江汉澄清。但觉秋来归梦好，西南自有长城。东府三人最少，西山八国初平。<br>莫负花溪纵赏，何妨药市微行。试问当垆人在否，空教是处闻名。唱著子渊新曲，应须分外含情。
","感慨,历史,抒情"
cc49c4f432064c65a6c555ac174e93e1,秋登万山寄张五 / 九月九日岘山寄张子容,唐代 孟浩然,"
北山白云里，隐者自怡悦。<br>相望试登高，心随雁飞灭。(试 一作 始)<br>愁因薄暮起，兴是清秋发。<br>时见归村人，沙行渡头歇。<br>天边树若荠，江畔洲如月。<br>何当载酒来，共醉重阳节。
","唐诗三百首,秋天,登高,怀人"
91e17464df8643d7a106d31d137d98ea,李延年歌,两汉 李延年,"
北方有佳人，绝世而独立。<br>一顾倾人城，再顾倾人国。<br>宁不知倾城与倾国？佳人难再得。
","古诗三百首,乐府,歌咏,美人"
bb57158fe6c04dc5935a80d707cb2f01,九日次韵王巩,宋代 苏轼,"
我醉欲眠君罢休，已教从事到青州。<br>鬓霜饶我三千丈，诗律输君一百筹。<br>闻道郎君闭东阁，且容老子上南楼。<br>相逢不用忙归去，明日黄花蝶也愁。
","重阳节,抒情,怀才不遇"
29035de7130447f49cfa9081e1c83512,赠郭将军,唐代 李白,"
将军少年出武威，入掌银台护紫微。<br>平明拂剑朝天去，薄暮垂鞭醉酒归。<br>爱子临风吹玉笛，美人向月舞罗衣。<br>畴昔雄豪如梦里，相逢且欲醉春晖。
","写人,将军,抒情,怀才不遇"
872f4e1ffc5b4bb99742a238c7604929,贺新郎·酬辛幼安再用韵见寄,宋代 陈亮,"
离乱从头说。爱吾民、金缯不爱，蔓藤累葛。壮气尽消人脆好，冠盖阴山观雪。亏杀我、一星星发。涕出女吴成倒转，问鲁为齐弱何年月。丘也幸，由之瑟。 <br>斩新换出旗麾别。把当时、一椿大义，拆开收合。据地一呼吾往矣，万里摇肢动骨。这话霸、又成痴绝。天地洪炉谁扇鞲，算於中、安得长坚铁。淝水破，关东裂。
","抒情,愤懑,志气"
fb23c4e27c5f4ff4b9adccff7960fa65,如梦令·春思,宋代 苏轼,"
手种堂前桃李，无限绿阴青子。帘外百舌儿，惊起五更春睡。居士，居士。莫忘小桥流水。
","回忆,生活"
684a55ee1f764ecba56661abfca7c112,题龙阳县青草湖,元代 唐珙,"
西风吹老洞庭波，一夜湘君白发多。<br>醉后不知天在水，满船清梦压星河。
","写景,叙梦,纪游"
3b0f848152c4495ba81a77e7ea7de781,端午,唐代 文秀,"
节分端午自谁言，万古传闻为屈原。<br>堪笑楚江空渺渺，不能洗得直臣冤。
","端午节,抒怀"
216924ae3f1a4013a82bd19439905d7f,李都尉古剑,唐代 白居易,"
古剑寒黯黯，铸来几千秋。<br>白光纳日月，紫气排斗牛。<br>有客借一观，爱之不敢求。<br>湛然玉匣中，秋水澄不流。<br>至宝有本性，精刚无与俦。<br>可使寸寸折，不能绕指柔。<br>愿快直士心，将断佞臣头。<br>不愿报小怨，夜半刺私仇。<br>劝君慎所用，无作神兵羞。
","咏物,写剑,讽喻"
221b28cc7c224c1c809dbeb9399b56b9,河满子·湖州作寄益守冯当世,宋代 苏轼,"
见说岷峨凄怆，旋闻江汉澄清。但觉秋来归梦好，西南自有长城。东府三人最少，西山八国初平。<br>莫负花溪纵赏，何妨药市微行。试问当垆人在否，空教是处闻名。唱著子渊新曲，应须分外含情。
","感慨,历史,抒情"
f89a96f51a62414c9116be46164f84fd,秋登万山寄张五 / 九月九日岘山寄张子容,唐代 孟浩然,"
北山白云里，隐者自怡悦。<br>相望试登高，心随雁飞灭。(试 一作 始)<br>愁因薄暮起，兴是清秋发。<br>时见归村人，沙行渡头歇。<br>天边树若荠，江畔洲如月。<br>何当载酒来，共醉重阳节。
","唐诗三百首,秋天,登高,怀人"
362cb7ada4a941419a9a4efdd84e9ba8,李延年歌,两汉 李延年,"
北方有佳人，绝世而独立。<br>一顾倾人城，再顾倾人国。<br>宁不知倾城与倾国？佳人难再得。
","古诗三百首,乐府,歌咏,美人"
05d00da164014fc0adfc88409722c11b,过垂虹,宋代 姜夔,"
自作新词韵最娇，小红低唱我吹箫。<br>曲终过尽松陵路，回首烟波十四桥。
","古诗三百首,行舟,友情"
26ef8d205a3b48778c6d75f4e811d55c,贾人食言,清代 邹弢,"
　　济阴之贾人，渡河而亡其舟，栖于浮苴之上，号呼救命。有渔者以舟往救之。未至，贾人曰：""我富者也，能救我，予尔百金！""渔者载而登陆，则予十金。渔者曰：""向许百金而今但予十金？""贾人勃然作色曰：""若渔者也，一日捕鱼能获几何？而骤得十金犹为不足乎？""渔者黯然而退。他日，贾人浮吕梁而下，舟薄于石，又覆，而渔者在焉。或曰：""何以不就？""渔者曰：""是许金而不酬者也！""未久，贾人没。
","初中文言文,诚信,寓言,故事"
9b3e109d717644df8a7fb05fdb003f9c,西江月·携手看花深径,宋代 贺铸,"
携手看花深径，扶肩待月斜廊。临分少伫已伥伥，此段不堪回想。<br>欲寄书如天远，难销夜似年长。小窗风雨碎人肠，更在孤舟枕上。
","宋词精选,离别,相思,追忆,爱情,恋情"
e9dd9138ec3a430aa8eda3ee073afbdd,菩萨蛮·七夕,宋代 苏轼,"
风回仙驭云开扇，更阑月坠星河转。枕上梦魂惊，晓檐疏雨零。<br>相逢虽草草，长共天难老。终不羡人间，人间日似年。
","节日,七夕"
b1ff1544c8c241008d2c195129de0906,满江红·屈指兴亡,明代 张煌言,"
屈指兴亡，恨南北、黄图消歇。便几个、孤忠大义，冰清玉烈。赵信城边羌笛雨，李陵台上胡笳月。惨模糊、吹出玉关情，声凄切。<br>汉宫露，梁园雪。双龙逝，一鸿灭。剩逋臣怒击，唾壶皆缺。豪杰气吞白凤髓，高怀眦饮黄羊血。试排云、待把捧日心，诉金阙。
","抒怀,述志,亡国"
4101676bbe30438fbb24df2d2fc920a5,论诗五首,清代 赵翼,"
<br>
<br>
<br>
<br>
<br>
","组诗,志向"
e4f375f1713e48b9af62a2d4637b0873,浣溪沙·咏五更和湘真韵,清代 纳兰性德,"
微晕娇花湿欲流，簟纹灯影一生愁。梦回疑在远山楼。<br>残月暗窥金屈戍，软风徐荡玉帘钩。待听邻女唤梳头。
","写景,抒情"
9adab74ed6264d9ba930046cb18ef7ec,题报恩寺上方,唐代 方干,"
来来先上上方看，眼界无穷世界宽。<br>岩溜喷空晴似雨，林萝碍日夏多寒。<br>众山迢递皆相叠，一路高低不记盘。<br>清峭关心惜归去，他时梦到亦难判。
","写景,抒怀"
332fa42c8e2b421ab6aef6e64825b0a9,庾楼晓望,唐代 白居易,"
独凭朱槛立凌晨，山色初明水色新。<br>竹雾晓笼衔岭月，频风暖送过江春。<br>子城阴处犹残雪，衙鼓声前未有尘。<br>三百年来庾楼上，曾经多少望乡人。
","登高,写景,思乡"
47736bf522784006a9bc2761c98487f8,送二兄入蜀,唐代 卢照邻,"
关山客子路，花柳帝王城。<br>此中一分手，相顾怜无声。
","送别,亲情"
e6db1d989e8141c293f0fc9d188c28e8,穷边词二首,唐代 姚合,"
<br>
<br>
","边塞,写景,赞扬"
779d5fafc2ed4693a3bcbf1ab100ffa7,陌上花三首,宋代 苏轼,"
<br>
<br>
<br>
<br>
","怀古,咏史"
7562da83d8fa4462b4ba9ab33bae5aa4,霜花腴·重阳前一日泛石湖,宋代 吴文英,"
翠微路窄，醉晚风、凭谁为整欹冠。霜饱花腴，烛消人瘦，秋光作也都难。病怀强宽。恨雁声、偏落歌前。记年时、旧宿凄凉，暮烟秋雨野桥寒。 <br>妆靥鬓英争艳，度清商一曲，暗坠金蝉。芳节多阴，兰情稀会，晴晖称拂吟笺。更移画船。引佩环、邀下婵娟。算明朝、未了重阳，紫萸应耐看。
","重阳节,登高,回忆"
42d32c54d09540169e11ac65da264fba,题所居村舍,唐代 杜荀鹤,"
家随兵尽屋空存，税额宁容减一分。<br>衣食旋营犹可过，赋输长急不堪闻。<br>蚕无夏织桑充寨，田废春耕犊劳军。<br>如此数州谁会得，杀民将尽更邀勋。
","忧国忧民,揭露,社会"
ad532db547fa4f9793fafb25e0cde221,江神子慢·玉台挂秋月,宋代 田为,"
玉台挂秋月，铅素浅、梅花傅香雪。冰姿拮，金莲衬、小小凌波罗袜。雨初歇，楼外孤鸿声渐远，远山外、行人音信绝。此恨对语犹难，那堪更寄书说。<br>教人红消翠减，觉衣宽金缕，都为轻别。太情切，消魂处、画角黄昏时节，声呜咽。落尽春花春去也，银蟾迥，无情圆又缺。恨伊不似馀香，惹鸳鸯结。
","怨情,相思"
ad84d73f4c62451096c986248e1c2581,庆东原·暖日宜乘轿,元代 白朴,"
暖日宜乘轿，春风堪信马。恰寒食有二百处秋千架。对人娇杏花，扑人飞柳花，迎人笑桃花。来往画船边，招飐青旗挂。
","节日,清明节,春天,郊游,赞美"
62971d22d8e24d2b9fa1b258be84a62a,齐天乐·送童瓮天兵后归杭,宋代 詹玉,"
相逢唤醒京华梦，吴尘暗斑吟发。倚担评花，认旗沽酒，历历行歌奇迹。吹香弄碧，有坡柳风情，逋梅月色。画鼓红船，满湖春水断桥客。<br>当时何限俊侣，甚花天月地，人被云隔。却载苍烟，更招白鹭，一醉修江又别。今回记得。再折柳穿鱼，赏梅催雪。如此湖山，忍教人更说。
","送别,写景,西湖,抒情"
470b5a905a264afe8510e8fe264bf7cd,女冠子·四月十七,唐代 韦庄,"
四月十七，正是去年今日，别君时。忍泪佯低面，含羞半敛眉。<br>不知魂已断，空有梦相随。除却天边月，没人知。
","爱情,离别,相思"
d13c66493b944bf789506550b23c274e,喜春来·春盘宜剪三生菜,元代 元好问,"
春盘宜剪三生菜，春燕斜簪七宝钗。春风春酝透人怀。春宴排，齐唱喜春来。
","春天,喜悦"
9d91f68963704383a08359fb0cc86aaf,临江仙·柳絮,清代 曹雪芹,"
白玉堂前春解舞，东风卷得均匀。蜂围蝶阵乱纷纷。几曾随逝水？岂必委芳尘？<br>万缕千丝终不改，任他随聚随分。韶华休笑本无根。好风凭借力，送我上青云。
","咏物,言志"
18db308608e24cbab53c7c08606fac0b,贺新郎·九日,宋代 刘克庄,"
湛湛长空黑。更那堪、斜风细雨，乱愁如织。老眼平生空四海，赖有高楼百尺。看浩荡、千崖秋色。白发书生神州泪，尽凄凉、不向牛山滴。追往事，去无迹。 <br>少年自负凌云笔。到而今、春华落尽，满怀萧瑟。常恨世人新意少，爱说南朝狂客。把破帽、年年拈出。若对黄花孤负酒，怕黄花、也笑人岑寂。鸿北去，日西匿。
","宋词三百首,宋词精选,重阳节,登高,望远,伤怀,情怀"
479ebfcaf5bc4abfa02c62aac1cf9fcf,青玉案·丝丝香篆浓于雾,清代 高鹗,"
丝丝香篆浓于雾，织就绿阴红雨。乳燕飞来傍莲幕，杨花欲雪，梨云如梦，又是清明暮。<br>屏山遮断相思路，子规啼到无声处。鳞瞑羽迷谁与诉。好段东风，好轮明月，尽教封侯误。
","婉约,春闺,怀人"
44913eb9633e4426ab3a1ed6e296d344,四时,魏晋 陶渊明,"
春水满四泽，夏云多奇峰。<br>秋月扬明晖，冬岭秀寒松。
","四季,写景,述志"
463b9fc6a808472f8dac367c1a02f628,金缕曲·次女绣孙,清代 俞樾,"
<br>
<br>
","婉约,惜春,抒怀"
31bf5c775b8a44569b365c58ea81ce3d,九日寄岑参,唐代 杜甫,"
出门复入门，两脚但如旧。<br>所向泥活活，思君令人瘦。 <br>沉吟坐西轩，饮食错昏昼。<br>寸步曲江头，难为一相就。 <br>吁嗟呼苍生，稼穑不可救。<br>安得诛云师，畴能补天漏。 <br>大明韬日月，旷野号禽兽。<br>君子强逶迤，小人困驰骤。 <br>维南有崇山，恐与川浸溜。<br>是节东篱菊，纷披为谁秀。 <br>岑生多新诗，性亦嗜醇酎。<br>采采黄金花，何由满衣袖。
","重阳节,怀人"
590534e6d82d440dbfae9340c4ef0671,减字木兰花·淮山隐隐,宋代 淮上女,"
淮山隐隐，千里云峰千里恨。淮水悠悠，万顷烟波万顷愁。<br>山长水远，遮断行人东望眼。恨旧愁新，有泪无言对晚春。
","宋词精选,女子,悲愤,思乡"
2c0642f63a2847eea7440cefce541ab9,感皇恩·读庄子闻朱晦庵即世,宋代 辛弃疾,"
案上数编书，非庄即老。会说忘言始知道；万言千句，不自能忘堪笑。今朝梅雨霁，青天好。<br>一壑一丘，轻衫短帽。白发多时故人少。子云何在，应有玄经遗草。江河流日夜，何时了。
","读书,怀人,思念"
9a0aa54faceb45ebbb1499c16beb8e90,风入松·归鞍尚欲小徘徊,宋代 刘克庄,"
归鞍尚欲小徘徊。逆境难排。人言酒是消忧物，奈病余孤负金罍。萧瑟捣衣时候，凄凉鼓缶情怀。<br>远林摇落晚风哀，野店犹开。多情惟是灯前影，伴此翁同去同来。逆旅主人相问，今回老似前回。
","悼念,妻子,怀人,悲伤"
54167df6ae5c4265a26e9e0c4003680c,菩萨蛮·青岩碧洞经朝雨,五代 孙光宪,"
青岩碧洞经朝雨，隔花相唤南溪去。一只木兰船，波平远浸天。<br>扣舷惊翡翠，嫩玉抬香臂。红日欲沉西，烟中遥解觽。
","写人,爱情"
d2375db5dc024860a8e52fa0a3d1b13d,荆门道怀古,唐代 刘禹锡,"
南国山川旧帝畿，宋台梁馆尚依稀。<br>马嘶古道行人歇，麦秀空城野雉飞。<br>风吹落叶填宫井，火入荒陵化宝衣。<br>徒使词臣庾开府，咸阳终日苦思归。
","怀古,忧虑"
795c553f484d4bf3a0a12fed15fc9651,蝶恋花·蝶懒莺慵春过半,宋代 苏轼,"
蝶懒莺慵春过半。花落狂风，小院残红满。午醉未醒红日晚，黄昏帘幕无人卷。<br>云鬓鬅松眉黛浅。总是愁媒，欲诉谁消遣。未信此情难系绊，杨花犹有东风管。
","少女,伤春,孤独"
affef409de01457eae87959dadcf4736,甘草子·秋暮,宋代 柳永,"
秋暮。乱洒衰荷，颗颗真珠雨。雨过月华生，冷彻鸳鸯浦。 <br>池上凭阑愁无侣。奈此个、单栖情绪。却傍金笼共鹦鹉。念粉郎言语。
","秋天,闺怨,孤独"
